Grade,Day,PeriodStart,PeriodEnd,Subject,Teacher
B6A,Monday,08:00,08:55,,
B6A,Monday,08:55,09:50,,
B6A,Monday,09:50,10:45,,
B6A,Monday,10:45,11:25,Break,
B6A,Monday,11:25,12:20,,
B6A,Monday,12:20,13:15,,
B6A,Monday,13:15,13:30,Lunch,
B6A,Monday,13:30,14:25,,
B6A,Monday,14:45,15:20,Extra Curricular,
B6A,Tuesday,08:00,08:55,,
B6A,Tuesday,08:55,09:50,,
B6A,Tuesday,09:50,10:45,,
B6A,Tuesday,10:45,11:25,Break,
B6A,Tuesday,11:25,12:20,,
B6A,Tuesday,12:20,13:15,,
B6A,Tuesday,13:15,13:30,Lunch,
B6A,Tuesday,13:30,14:25,,
B6A,Tuesday,14:45,15:20,Extra Curricular,
B6A,Wednesday,08:00,08:55,,
B6A,Wednesday,08:55,09:50,,
B6A,Wednesday,09:50,10:45,,
B6A,Wednesday,10:45,11:25,Break,
B6A,Wednesday,11:25,12:20,,
B6A,Wednesday,12:20,13:15,,
B6A,Wednesday,13:15,13:30,Lunch,
B6A,Wednesday,13:30,14:25,,
B6A,Wednesday,14:45,15:20,Extra Curricular,
B6A,Thursday,08:00,08:55,,
B6A,Thursday,08:55,09:50,,
B6A,Thursday,09:50,10:45,,
B6A,Thursday,10:45,11:25,Break,
B6A,Thursday,11:25,12:20,,
B6A,Thursday,12:20,13:15,,
B6A,Thursday,13:15,13:30,Lunch,
B6A,Thursday,13:30,14:25,,
B6A,Thursday,14:45,15:20,Extra Curricular,
B6A,Friday,08:00,08:55,,
B6A,Friday,08:55,09:50,,
B6A,Friday,09:50,10:45,,
B6A,Friday,10:45,11:25,Break,
B6A,Friday,11:25,12:20,,
B6A,Friday,12:20,13:15,,
B6A,Friday,13:15,13:30,Lunch,
B6A,Friday,13:30,14:25,,
B6A,Friday,14:45,15:20,Extra Curricular,
B6B,Monday,08:00,08:55,,
B6B,Monday,08:55,09:50,,
B6B,Monday,09:50,10:45,,
B6B,Monday,10:45,11:25,Break,
B6B,Monday,11:25,12:20,,
B6B,Monday,12:20,13:15,,
B6B,Monday,13:15,13:30,Lunch,
B6B,Monday,13:30,14:25,,
B6B,Monday,14:45,15:20,Extra Curricular,
B6B,Tuesday,08:00,08:55,,
B6B,Tuesday,08:55,09:50,,
B6B,Tuesday,09:50,10:45,,
B6B,Tuesday,10:45,11:25,Break,
B6B,Tuesday,11:25,12:20,,
B6B,Tuesday,12:20,13:15,,
B6B,Tuesday,13:15,13:30,Lunch,
B6B,Tuesday,13:30,14:25,,
B6B,Tuesday,14:45,15:20,Extra Curricular,
B6B,Wednesday,08:00,08:55,,
B6B,Wednesday,08:55,09:50,,
B6B,Wednesday,09:50,10:45,,
B6B,Wednesday,10:45,11:25,Break,
B6B,Wednesday,11:25,12:20,,
B6B,Wednesday,12:20,13:15,,
B6B,Wednesday,13:15,13:30,Lunch,
B6B,Wednesday,13:30,14:25,,
B6B,Wednesday,14:45,15:20,Extra Curricular,
B6B,Thursday,08:00,08:55,,
B6B,Thursday,08:55,09:50,,
B6B,Thursday,09:50,10:45,,
B6B,Thursday,10:45,11:25,Break,
B6B,Thursday,11:25,12:20,,
B6B,Thursday,12:20,13:15,,
B6B,Thursday,13:15,13:30,Lunch,
B6B,Thursday,13:30,14:25,,
B6B,Thursday,14:45,15:20,Extra Curricular,
B6B,Friday,08:00,08:55,,
B6B,Friday,08:55,09:50,,
B6B,Friday,09:50,10:45,,
B6B,Friday,10:45,11:25,Break,
B6B,Friday,11:25,12:20,,
B6B,Friday,12:20,13:15,,
B6B,Friday,13:15,13:30,Lunch,
B6B,Friday,13:30,14:25,,
B6B,Friday,14:45,15:20,Extra Curricular,
B7A,Monday,08:00,08:55,,
B7A,Monday,08:55,09:50,,
B7A,Monday,09:50,10:45,,
B7A,Monday,10:45,11:25,Break,
B7A,Monday,11:25,12:20,,
B7A,Monday,12:20,13:15,,
B7A,Monday,13:15,13:30,Lunch,
B7A,Monday,13:30,14:25,,
B7A,Monday,14:45,15:20,Extra Curricular,
B7A,Tuesday,08:00,08:55,,
B7A,Tuesday,08:55,09:50,,
B7A,Tuesday,09:50,10:45,,
B7A,Tuesday,10:45,11:25,Break,
B7A,Tuesday,11:25,12:20,,
B7A,Tuesday,12:20,13:15,,
B7A,Tuesday,13:15,13:30,Lunch,
B7A,Tuesday,13:30,14:25,,
B7A,Tuesday,14:45,15:20,Extra Curricular,
B7A,Wednesday,08:00,08:55,,
B7A,Wednesday,08:55,09:50,,
B7A,Wednesday,09:50,10:45,,
B7A,Wednesday,10:45,11:25,Break,
B7A,Wednesday,11:25,12:20,,
B7A,Wednesday,12:20,13:15,,
B7A,Wednesday,13:15,13:30,Lunch,
B7A,Wednesday,13:30,14:25,,
B7A,Wednesday,14:45,15:20,Extra Curricular,
B7A,Thursday,08:00,08:55,,
B7A,Thursday,08:55,09:50,,
B7A,Thursday,09:50,10:45,,
B7A,Thursday,10:45,11:25,Break,
B7A,Thursday,11:25,12:20,,
B7A,Thursday,12:20,13:15,,
B7A,Thursday,13:15,13:30,Lunch,
B7A,Thursday,13:30,14:25,,
B7A,Thursday,14:45,15:20,Extra Curricular,
B7A,Friday,08:00,08:55,,
B7A,Friday,08:55,09:50,,
B7A,Friday,09:50,10:45,,
B7A,Friday,10:45,11:25,Break,
B7A,Friday,11:25,12:20,,
B7A,Friday,12:20,13:15,,
B7A,Friday,13:15,13:30,Lunch,
B7A,Friday,13:30,14:25,,
B7A,Friday,14:45,15:20,Extra Curricular,
B7B,Monday,08:00,08:55,,
B7B,Monday,08:55,09:50,,
B7B,Monday,09:50,10:45,,
B7B,Monday,10:45,11:25,Break,
B7B,Monday,11:25,12:20,,
B7B,Monday,12:20,13:15,,
B7B,Monday,13:15,13:30,Lunch,
B7B,Monday,13:30,14:25,,
B7B,Monday,14:45,15:20,Extra Curricular,
B7B,Tuesday,08:00,08:55,,
B7B,Tuesday,08:55,09:50,,
B7B,Tuesday,09:50,10:45,,
B7B,Tuesday,10:45,11:25,Break,
B7B,Tuesday,11:25,12:20,,
B7B,Tuesday,12:20,13:15,,
B7B,Tuesday,13:15,13:30,Lunch,
B7B,Tuesday,13:30,14:25,,
B7B,Tuesday,14:45,15:20,Extra Curricular,
B7B,Wednesday,08:00,08:55,,
B7B,Wednesday,08:55,09:50,,
B7B,Wednesday,09:50,10:45,,
B7B,Wednesday,10:45,11:25,Break,
B7B,Wednesday,11:25,12:20,,
B7B,Wednesday,12:20,13:15,,
B7B,Wednesday,13:15,13:30,Lunch,
B7B,Wednesday,13:30,14:25,,
B7B,Wednesday,14:45,15:20,Extra Curricular,
B7B,Thursday,08:00,08:55,,
B7B,Thursday,08:55,09:50,,
B7B,Thursday,09:50,10:45,,
B7B,Thursday,10:45,11:25,Break,
B7B,Thursday,11:25,12:20,,
B7B,Thursday,12:20,13:15,,
B7B,Thursday,13:15,13:30,Lunch,
B7B,Thursday,13:30,14:25,,
B7B,Thursday,14:45,15:20,Extra Curricular,
B7B,Friday,08:00,08:55,,
B7B,Friday,08:55,09:50,,
B7B,Friday,09:50,10:45,,
B7B,Friday,10:45,11:25,Break,
B7B,Friday,11:25,12:20,,
B7B,Friday,12:20,13:15,,
B7B,Friday,13:15,13:30,Lunch,
B7B,Friday,13:30,14:25,,
B7B,Friday,14:45,15:20,Extra Curricular,
B8A,Monday,08:00,08:55,,
B8A,Monday,08:55,09:50,,
B8A,Monday,09:50,10:45,,
B8A,Monday,10:45,11:25,Break,
B8A,Monday,11:25,12:20,,
B8A,Monday,12:20,13:15,,
B8A,Monday,13:15,13:30,Lunch,
B8A,Monday,13:30,14:25,,
B8A,Monday,14:45,15:20,Extra Curricular,
B8A,Tuesday,08:00,08:55,,
B8A,Tuesday,08:55,09:50,,
B8A,Tuesday,09:50,10:45,,
B8A,Tuesday,10:45,11:25,Break,
B8A,Tuesday,11:25,12:20,,
B8A,Tuesday,12:20,13:15,,
B8A,Tuesday,13:15,13:30,Lunch,
B8A,Tuesday,13:30,14:25,,
B8A,Tuesday,14:45,15:20,Extra Curricular,
B8A,Wednesday,08:00,08:55,,
B8A,Wednesday,08:55,09:50,,
B8A,Wednesday,09:50,10:45,,
B8A,Wednesday,10:45,11:25,Break,
B8A,Wednesday,11:25,12:20,,
B8A,Wednesday,12:20,13:15,,
B8A,Wednesday,13:15,13:30,Lunch,
B8A,Wednesday,13:30,14:25,,
B8A,Wednesday,14:45,15:20,Extra Curricular,
B8A,Thursday,08:00,08:55,,
B8A,Thursday,08:55,09:50,,
B8A,Thursday,09:50,10:45,,
B8A,Thursday,10:45,11:25,Break,
B8A,Thursday,11:25,12:20,,
B8A,Thursday,12:20,13:15,,
B8A,Thursday,13:15,13:30,Lunch,
B8A,Thursday,13:30,14:25,,
B8A,Thursday,14:45,15:20,Extra Curricular,
B8A,Friday,08:00,08:55,,
B8A,Friday,08:55,09:50,,
B8A,Friday,09:50,10:45,,
B8A,Friday,10:45,11:25,Break,
B8A,Friday,11:25,12:20,,
B8A,Friday,12:20,13:15,,
B8A,Friday,13:15,13:30,Lunch,
B8A,Friday,13:30,14:25,,
B8A,Friday,14:45,15:20,Extra Curricular,
B8B,Monday,08:00,08:55,,
B8B,Monday,08:55,09:50,,
B8B,Monday,09:50,10:45,,
B8B,Monday,10:45,11:25,Break,
