Grade,Day,PeriodStart,PeriodEnd,Subject,Teacher
B1,Monday,08:00,08:55,,
B1,Monday,08:55,09:50,,
B1,Monday,09:50,10:45,,
B1,Monday,10:45,11:25,Break,
B1,Monday,11:25,12:20,,
B1,Monday,12:20,13:15,,
B1,Monday,13:15,13:30,Lunch,
B1,Monday,13:30,14:25,,
B1,Monday,14:45,15:20,Extra Curricular,
B1,Tuesday,08:00,08:55,,
B1,Tuesday,08:55,09:50,,
B1,Tuesday,09:50,10:45,,
B1,Tuesday,10:45,11:25,Break,
B1,Tuesday,11:25,12:20,,
B1,Tuesday,12:20,13:15,,
B1,Tuesday,13:15,13:30,Lunch,
B1,Tuesday,13:30,14:25,,
B1,Tuesday,14:45,15:20,Extra Curricular,
B1,Wednesday,08:00,08:55,,
B1,Wednesday,08:55,09:50,,
B1,Wednesday,09:50,10:45,,
B1,Wednesday,10:45,11:25,Break,
B1,Wednesday,11:25,12:20,,
B1,Wednesday,12:20,13:15,,
B1,Wednesday,13:15,13:30,Lunch,
B1,Wednesday,13:30,14:25,,
B1,Wednesday,14:45,15:20,Extra Curricular,
B1,Thursday,08:00,08:55,,
B1,Thursday,08:55,09:50,,
B1,Thursday,09:50,10:45,,
B1,Thursday,10:45,11:25,Break,
B1,Thursday,11:25,12:20,,
B1,Thursday,12:20,13:15,,
B1,Thursday,13:15,13:30,Lunch,
B1,Thursday,13:30,14:25,,
B1,Thursday,14:45,15:20,Extra Curricular,
B1,Friday,08:00,08:55,,
B1,Friday,08:55,09:50,,
B1,Friday,09:50,10:45,,
B1,Friday,10:45,11:25,Break,
B1,Friday,11:25,12:20,,
B1,Friday,12:20,13:15,,
B1,Friday,13:15,13:30,Lunch,
B1,Friday,13:30,14:25,,
B1,Friday,14:45,15:20,Extra Curricular,
B2A,Monday,08:00,08:55,,
B2A,Monday,08:55,09:50,,
B2A,Monday,09:50,10:45,,
B2A,Monday,10:45,11:25,Break,
B2A,Monday,11:25,12:20,,
B2A,Monday,12:20,13:15,,
B2A,Monday,13:15,13:30,Lunch,
B2A,Monday,13:30,14:25,,
B2A,Monday,14:45,15:20,Extra Curricular,
B2A,Tuesday,08:00,08:55,,
B2A,Tuesday,08:55,09:50,,
B2A,Tuesday,09:50,10:45,,
B2A,Tuesday,10:45,11:25,Break,
B2A,Tuesday,11:25,12:20,,
B2A,Tuesday,12:20,13:15,,
B2A,Tuesday,13:15,13:30,Lunch,
B2A,Tuesday,13:30,14:25,,
B2A,Tuesday,14:45,15:20,Extra Curricular,
B2A,Wednesday,08:00,08:55,,
B2A,Wednesday,08:55,09:50,,
B2A,Wednesday,09:50,10:45,,
B2A,Wednesday,10:45,11:25,Break,
B2A,Wednesday,11:25,12:20,,
B2A,Wednesday,12:20,13:15,,
B2A,Wednesday,13:15,13:30,Lunch,
B2A,Wednesday,13:30,14:25,,
B2A,Wednesday,14:45,15:20,Extra Curricular,
B2A,Thursday,08:00,08:55,,
B2A,Thursday,08:55,09:50,,
B2A,Thursday,09:50,10:45,,
B2A,Thursday,10:45,11:25,Break,
B2A,Thursday,11:25,12:20,,
B2A,Thursday,12:20,13:15,,
B2A,Thursday,13:15,13:30,Lunch,
B2A,Thursday,13:30,14:25,,
B2A,Thursday,14:45,15:20,Extra Curricular,
B2A,Friday,08:00,08:55,,
B2A,Friday,08:55,09:50,,
B2A,Friday,09:50,10:45,,
B2A,Friday,10:45,11:25,Break,
B2A,Friday,11:25,12:20,,
B2A,Friday,12:20,13:15,,
B2A,Friday,13:15,13:30,Lunch,
B2A,Friday,13:30,14:25,,
B2A,Friday,14:45,15:20,Extra Curricular,
B2B,Monday,08:00,08:55,,
B2B,Monday,08:55,09:50,,
B2B,Monday,09:50,10:45,,
B2B,Monday,10:45,11:25,Break,
B2B,Monday,11:25,12:20,,
B2B,Monday,12:20,13:15,,
B2B,Monday,13:15,13:30,Lunch,
B2B,Monday,13:30,14:25,,
B2B,Monday,14:45,15:20,Extra Curricular,
B2B,Tuesday,08:00,08:55,,
B2B,Tuesday,08:55,09:50,,
B2B,Tuesday,09:50,10:45,,
B2B,Tuesday,10:45,11:25,Break,
B2B,Tuesday,11:25,12:20,,
B2B,Tuesday,12:20,13:15,,
B2B,Tuesday,13:15,13:30,Lunch,
B2B,Tuesday,13:30,14:25,,
B2B,Tuesday,14:45,15:20,Extra Curricular,
B2B,Wednesday,08:00,08:55,,
B2B,Wednesday,08:55,09:50,,
B2B,Wednesday,09:50,10:45,,
B2B,Wednesday,10:45,11:25,Break,
B2B,Wednesday,11:25,12:20,,
B2B,Wednesday,12:20,13:15,,
B2B,Wednesday,13:15,13:30,Lunch,
B2B,Wednesday,13:30,14:25,,
B2B,Wednesday,14:45,15:20,Extra Curricular,
B2B,Thursday,08:00,08:55,,
B2B,Thursday,08:55,09:50,,
B2B,Thursday,09:50,10:45,,
B2B,Thursday,10:45,11:25,Break,
B2B,Thursday,11:25,12:20,,
B2B,Thursday,12:20,13:15,,
B2B,Thursday,13:15,13:30,Lunch,
B2B,Thursday,13:30,14:25,,
B2B,Thursday,14:45,15:20,Extra Curricular,
B2B,Friday,08:00,08:55,,
B2B,Friday,08:55,09:50,,
B2B,Friday,09:50,10:45,,
B2B,Friday,10:45,11:25,Break,
B2B,Friday,11:25,12:20,,
B2B,Friday,12:20,13:15,,
B2B,Friday,13:15,13:30,Lunch,
B2B,Friday,13:30,14:25,,
B2B,Friday,14:45,15:20,Extra Curricular,
B3,Monday,08:00,08:55,,
B3,Monday,08:55,09:50,,
B3,Monday,09:50,10:45,,
B3,Monday,10:45,11:25,Break,
B3,Monday,11:25,12:20,,
B3,Monday,12:20,13:15,,
B3,Monday,13:15,13:30,Lunch,
B3,Monday,13:30,14:25,,
B3,Monday,14:45,15:20,Extra Curricular,
B3,Tuesday,08:00,08:55,,
B3,Tuesday,08:55,09:50,,
B3,Tuesday,09:50,10:45,,
B3,Tuesday,10:45,11:25,Break,
B3,Tuesday,11:25,12:20,,
